"","YR","MO","DY","HR","LAT","LON","IT","AT","SI","SST"
"1",2001,3,10,600,60,69,3,315,NA,NA
"2",2001,3,11,0,180,42,3,270,NA,NA
"3",2001,4,15,0,-1080,52,0,270,NA,NA
"4",2001,4,17,0,-890,50,0,270,NA,NA
"5",2001,4,17,300,-870,49,0,300,NA,NA
"6",2001,4,28,0,270,55,0,270,NA,NA
"7",2001,4,29,0,80,56,0,285,NA,NA
"8",2001,11,2,1800,280,49,0,270,0,275
"9",2001,11,3,0,110,49,0,268,0,270
"10",2001,11,3,600,-60,49,0,278,0,290
"11",2001,11,3,1200,-240,49,0,290,0,305
"12",2001,11,3,1800,-420,49,0,270,0,280
"13",2001,11,4,0,-600,49,0,270,0,270
"14",2001,11,4,600,-780,49,0,272,0,285
"15",2001,11,4,1200,-960,49,0,279,0,275
"16",2001,11,4,1800,-1140,49,0,263,0,265
"17",2001,11,5,0,-1320,49,0,250,0,250
"18",2001,11,5,600,-1590,48,0,255,0,260
"19",2001,11,5,1200,-1670,48,0,248,0,253
"20",2001,11,28,0,-1260,49,0,255,0,270
"21",2001,11,28,1200,-930,49,0,275,0,283
"22",2001,11,28,1800,-730,49,0,270,0,270
"23",2001,11,29,0,-540,49,0,267,0,284
"24",2001,11,30,0,240,64,0,290,NA,NA
"25",2002,4,3,600,220,68,0,312,0,320
"26",2002,5,24,1800,250,66,0,270,NA,NA
"27",2002,5,25,600,100,64,0,310,NA,NA
"28",2002,5,26,600,-220,60,0,280,NA,NA
"29",2002,5,26,1800,-380,58,0,280,NA,NA
"30",2002,5,27,1800,-690,55,0,270,NA,NA
"31",2002,5,29,1800,-1560,50,0,270,NA,NA
"32",2002,5,30,600,-1820,48,0,280,NA,NA
"33",2002,6,11,600,-1110,50,0,270,NA,NA
"34",2002,6,11,1800,-950,52,0,230,NA,NA
"35",2002,6,12,1800,-640,55,0,230,NA,NA
"36",2002,6,13,600,-480,56,0,270,NA,NA
"37",2002,6,14,1800,10,62,0,250,NA,NA
"38",2002,6,15,600,180,63,0,300,NA,NA
"39",2002,8,6,1800,140,66,0,240,1,280
"40",2003,4,8,1200,-20,68,0,310,1,320
"41",2004,2,9,1800,290,69,0,282,NA,NA
"42",2004,2,9,1800,290,69,0,282,3,290
"43",2004,2,22,600,-1220,59,0,248,1,261
"44",2004,3,27,1800,-230,66,0,279,1,300
"45",2004,3,29,1800,-1650,66,0,275,1,280
"46",2003,4,8,1200,-20,68,0,310,1,320
"47",2004,11,9,1800,-1330,53,0,260,3,270
"48",2005,3,2,0,-1870,50,0,290,3,298
"49",2005,3,2,1200,-1720,50,0,308,3,301
"50",2005,3,2,1800,-1660,51,0,291,3,301
"51",2005,3,3,600,-1660,51,0,290,3,298
"52",2005,3,3,1800,-1670,52,0,290,3,295
"53",2005,3,4,0,-1670,51,0,287,3,294
"54",2005,3,4,600,-1670,51,0,285,3,291
"55",2005,3,4,1200,-1660,51,0,292,3,294
"56",2005,3,4,1800,-1660,51,0,285,3,292
"57",2005,3,5,600,-1680,52,0,279,3,279
"58",2005,3,5,1200,-1680,52,0,300,3,286
